@T,table
Created,2023-02-06 17:50
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2017-01-01 12:00,172.73347072006686
,2017-01-01 13:00,100.42009607670198
,2017-01-01 14:00,3.1098961577620896
,2017-01-01 15:00,-61.35314679943937
,2017-01-01 16:00,-31.7890073459823
,2017-01-01 17:00,-27.30468421279064
,2017-01-01 18:00,-17.4919833352316
,2017-01-01 19:00,-18.472720306057255
,2017-01-01 20:00,-21.104075275788045
,2017-01-01 21:00,-20.006717478212742
,2017-01-01 22:00,-17.141072696952115
,2017-01-01 23:00,-14.291221242193362
,2017-01-02 00:00,-17.817579853162734
,2017-01-02 01:00,-18.091540084000947
,2017-01-02 02:00,-10.680830922584553
,2017-01-02 03:00,-13.39366820454385
,2017-01-02 04:00,-15.435445259540788
,2017-01-02 05:00,-16.039503113007815
,2017-01-02 06:00,-11.421510779896346
,2017-01-02 07:00,-11.884033353180628
,2017-01-02 08:00,156.8275420317702
,2017-01-02 09:00,240.6683885478355
,2017-01-02 10:00,267.0945448531618
,2017-01-02 11:00,258.4246915551684
,2017-01-02 12:00,199.94210964024592
,2017-01-02 13:00,121.12199689922411
,2017-01-02 14:00,38.28621828964251
,2017-01-02 15:00,-54.89653099814163
,2017-01-02 16:00,-18.05428180746846
,2017-01-02 17:00,-13.029314244881324
,2017-01-02 18:00,-15.885880533817819
,2017-01-02 19:00,-14.82337790384346
,2017-01-02 20:00,-12.737202648170133
,2017-01-02 21:00,-13.481087926682262
,2017-01-02 22:00,-12.765411322472984
,2017-01-02 23:00,-14.959800067214523
,2017-01-03 00:00,-11.91510074312055
,2017-01-03 01:00,-10.312139403767317
,2017-01-03 02:00,-13.915941246369758
,2017-01-03 03:00,-12.852343812941259
,2017-01-03 04:00,-23.61862607821782
,2017-01-03 05:00,-81.60396662318449
,2017-01-03 06:00,-103.47063234106
,2017-01-03 07:00,-93.96118088153774
,2017-01-03 08:00,117.46086624457364
,2017-01-03 09:00,194.30108073922486
,2017-01-03 10:00,211.6244835791264
,2017-01-03 11:00,212.3139598399394
,2017-01-03 12:00,168.25324863297902
,2017-01-03 13:00,87.35327672778946
,2017-01-03 14:00,2.312223981971766
,2017-01-03 15:00,-76.72143429920948
,2017-01-03 16:00,-71.25817939646133
,2017-01-03 17:00,-51.8397838738601
,2017-01-03 18:00,-47.059108332849384
,2017-01-03 19:00,-37.720224474878584
,2017-01-03 20:00,-25.695334755444886
,2017-01-03 21:00,-23.27081905928795
,2017-01-03 22:00,-23.8216194515418
,2017-01-03 23:00,-23.25484498621333
,2017-01-04 00:00,-19.356903881903317
,2017-01-04 01:00,-24.581644263222977
,2017-01-04 02:00,-23.719428754513352
,2017-01-04 03:00,-17.65029986995642
,2017-01-04 04:00,-13.682524589527874
,2017-01-04 05:00,-18.787863466037177
,2017-01-04 06:00,-17.510496711420355
,2017-01-04 07:00,-18.144384106126843
,2017-01-04 08:00,160.30092081290303
,2017-01-04 09:00,243.25327488828938
,2017-01-04 10:00,274.30509778283215
,2017-01-04 11:00,257.0267539717847
,2017-01-04 12:00,199.17922508927927
,2017-01-04 13:00,61.4188677723852
,2017-01-04 14:00,-70.53629272248476
,2017-01-04 15:00,-152.61723239274102
,2017-01-04 16:00,-197.2874924838677
,2017-01-04 17:00,-140.1999418306891
,2017-01-04 18:00,-158.66092539344132
,2017-01-04 19:00,-153.41711480834203
,2017-01-04 20:00,-57.61151625985266
,2017-01-04 21:00,-32.715882894639826
,2017-01-04 22:00,-84.31664682463074
,2017-01-04 23:00,-40.98905819635356
,2017-01-05 00:00,-71.99439275879861
,2017-01-05 01:00,-39.088821069601536
,2017-01-05 02:00,-57.84574926345382
,2017-01-05 03:00,-62.18711212234498
,2017-01-05 04:00,-48.088284171889335
,2017-01-05 05:00,-37.71481001348976
,2017-01-05 06:00,-67.44500825763318
,2017-01-05 07:00,-83.25828646263759
,2017-01-05 08:00,130.3685133516364
,2017-01-05 09:00,212.02472837106623
,2017-01-05 10:00,253.88722776689727
,2017-01-05 11:00,257.03378254361354
,2017-01-05 12:00,214.84720934773753
,2017-01-05 13:00,122.27004912027404
,2017-01-05 14:00,15.309502946082754
,2017-01-05 15:00,-99.83082169752745
,2017-01-05 16:00,-88.17419194076317
,2017-01-05 17:00,-70.178356470775
,2017-01-05 18:00,-65.36916917250497
,2017-01-05 19:00,-53.89636107452184
,2017-01-05 20:00,-55.16487329796759
,2017-01-05 21:00,-68.33997216685917
,2017-01-05 22:00,-71.88451889085837
,2017-01-05 23:00,-69.98248440994868
,2017-01-06 00:00,-69.80766120172682
,2017-01-06 01:00,-70.38871968160632
,2017-01-06 02:00,-78.86226509026876
,2017-01-06 03:00,-73.74603621007874
,2017-01-06 04:00,-65.12267260444897
,2017-01-06 05:00,-59.26693280630484
,2017-01-06 06:00,-61.185165549371746
,2017-01-06 07:00,-70.86721632715897
,2017-01-06 08:00,144.52627787105374
,2017-01-06 09:00,246.06805120137932
,2017-01-06 10:00,284.67828231230266
,2017-01-06 11:00,279.35748447362494
,2017-01-06 12:00,230.09199144749942
,2017-01-06 13:00,132.257115804588
,2017-01-06 14:00,21.52143599030177
,2017-01-06 15:00,-98.87546961839378
,2017-01-06 16:00,-81.39471862063985
,2017-01-06 17:00,-65.75989524244139
,2017-01-06 18:00,-58.90824474813209
,2017-01-06 19:00,-77.26334151271125
,2017-01-06 20:00,-53.696725849641865
,2017-01-06 21:00,-40.85753976493938
,2017-01-06 22:00,-26.973294057494915
,2017-01-06 23:00,-26.25333764285412
,2017-01-07 00:00,-15.14295521107117
,2017-01-07 01:00,-16.530476555563244
,2017-01-07 02:00,-15.175731106054926
,2017-01-07 03:00,-14.635029809694892
,2017-01-07 04:00,-17.357154069244512
,2017-01-07 05:00,-18.60541829702907
,2017-01-07 06:00,-19.115410687198796
,2017-01-07 07:00,-19.47452940921252
,2017-01-07 08:00,174.6508788813168
,2017-01-07 09:00,269.0082975296314
,2017-01-07 10:00,305.8149143936704
,2017-01-07 11:00,308.88582568815366
,2017-01-07 12:00,268.4519771966919
,2017-01-07 13:00,175.37585942476403
